epoch,train_loss,train_kmeans_acc,val_loss,val_kmeans_acc,best_val_acc,best_val_epoch
0,0.050122168,0.07913306451612903,0.04993141,0.11160714285714286,0.11160714285714286,0
1,0.049775776,0.10118447580645161,0.054854102,0.12276785714285714,0.12276785714285714,1
2,0.050077584,0.11731350806451613,0.0552121,0.14006696428571427,0.14006696428571427,2
3,0.050348345,0.12903225806451613,0.05486837,0.15401785714285715,0.15401785714285715,3
4,0.049648207,0.14213709677419356,0.05326971,0.17299107142857142,0.17299107142857142,4
5,0.049969565,0.1475554435483871,0.05503472,0.16350446428571427,0.17299107142857142,4
6,0.05033578,0.1498235887096774,0.05569305,0.16517857142857142,0.17299107142857142,4
7,0.050054573,0.15574596774193547,0.0546987,0.16908482142857142,0.17299107142857142,4
8,0.050059464,0.15120967741935484,0.061164442,0.16573660714285715,0.17299107142857142,4
9,0.05049359,0.15599798387096775,0.056893885,0.17299107142857142,0.17299107142857142,4
10,0.049687248,0.16595262096774194,0.057330366,0.18694196428571427,0.18694196428571427,10
11,0.050416682,0.17691532258064516,0.05691166,0.19029017857142858,0.19029017857142858,11
12,0.050236177,0.17111895161290322,0.05904117,0.17857142857142858,0.19029017857142858,11
13,0.050255742,0.18409778225806453,0.057055276,0.19866071428571427,0.19866071428571427,13
14,0.04999536,0.18409778225806453,0.05721649,0.19140625,0.19866071428571427,13
15,0.05029037,0.1905241935483871,0.05981366,0.19363839285714285,0.19866071428571427,13
16,0.050405864,0.18762600806451613,0.058469586,0.18805803571428573,0.19866071428571427,13
17,0.049922705,0.2040070564516129,0.057095986,0.21930803571428573,0.21930803571428573,17
18,0.050379585,0.19493447580645162,0.057543658,0.203125,0.21930803571428573,17
19,0.050485466,0.2052671370967742,0.05875023,0.20982142857142858,0.21930803571428573,17
20,0.05040459,0.21207157258064516,0.05892972,0.21484375,0.21930803571428573,17
21,0.051101986,0.20778729838709678,0.056656122,0.22823660714285715,0.22823660714285715,21
22,0.050079986,0.20388104838709678,0.055655975,0.22209821428571427,0.22823660714285715,21
23,0.050295707,0.2247983870967742,0.058463845,0.22098214285714285,0.22823660714285715,21
24,0.05060642,0.2244203629032258,0.05753303,0.21875,0.22823660714285715,21
25,0.05034321,0.23513104838709678,0.0594812,0.21875,0.22823660714285715,21
26,0.05048355,0.2196320564516129,0.05913197,0.234375,0.234375,26
27,0.050031457,0.22706653225806453,0.060330003,0.22098214285714285,0.234375,26
28,0.050468817,0.23424899193548387,0.059570886,0.22879464285714285,0.234375,26
29,0.050728522,0.2251764112903226,0.059142917,0.22935267857142858,0.234375,26
30,0.05041699,0.24684979838709678,0.05653697,0.24665178571428573,0.24665178571428573,30
31,0.050843842,0.22505040322580644,0.062048856,0.23381696428571427,0.24665178571428573,30
32,0.050443377,0.2483618951612903,0.058288716,0.23716517857142858,0.24665178571428573,30
33,0.05015077,0.2447076612903226,0.059031952,0.22544642857142858,0.24665178571428573,30
34,0.0511683,0.23702116935483872,0.05850751,0.24441964285714285,0.24665178571428573,30
35,0.049889803,0.24848790322580644,0.0603172,0.23995535714285715,0.24665178571428573,30
36,0.050952487,0.2586945564516129,0.058704156,0.23270089285714285,0.24665178571428573,30
37,0.050410863,0.2583165322580645,0.060539495,0.24720982142857142,0.24720982142857142,37
38,0.05077951,0.24974798387096775,0.059032325,0.24720982142857142,0.24720982142857142,37
39,0.050357305,0.2707913306451613,0.06088396,0.2421875,0.24720982142857142,37
40,0.050912894,0.26852318548387094,0.058548417,0.24720982142857142,0.24720982142857142,37
41,0.05037499,0.2579385080645161,0.060063038,0.24832589285714285,0.24832589285714285,41
42,0.050509315,0.26033266129032256,0.06131912,0.25167410714285715,0.25167410714285715,42
43,0.050764658,0.26713709677419356,0.058484625,0.24832589285714285,0.25167410714285715,42
44,0.050356597,0.2535282258064516,0.056810614,0.2583705357142857,0.2583705357142857,44
45,0.05076632,0.2864163306451613,0.057872307,0.2661830357142857,0.2661830357142857,45
46,0.050129108,0.29196068548387094,0.060814653,0.27232142857142855,0.27232142857142855,46
47,0.05089945,0.29712701612903225,0.058708455,0.26674107142857145,0.27232142857142855,46
48,0.05047436,0.2912046370967742,0.058917973,0.27064732142857145,0.27232142857142855,46
49,0.050690964,0.30002520161290325,0.062246848,0.265625,0.27232142857142855,46
50,0.05113605,0.2825100806451613,0.059536483,0.26339285714285715,0.27232142857142855,46
51,0.050788242,0.2842741935483871,0.058611277,0.27566964285714285,0.27566964285714285,51
52,0.05043956,0.28981854838709675,0.058001637,0.29017857142857145,0.29017857142857145,52
53,0.050730955,0.3059475806451613,0.059799325,0.27176339285714285,0.29017857142857145,52
54,0.050671745,0.3133820564516129,0.059308987,0.28125,0.29017857142857145,52
55,0.050958127,0.2962449596774194,0.059551854,0.26450892857142855,0.29017857142857145,52
56,0.05025699,0.3277469758064516,0.05710271,0.29966517857142855,0.29966517857142855,56
57,0.050876725,0.31640625,0.06253946,0.28348214285714285,0.29966517857142855,56
58,0.050413955,0.2973790322580645,0.055822056,0.27901785714285715,0.29966517857142855,56
59,0.050470494,0.30670362903225806,0.059452377,0.28683035714285715,0.29966517857142855,56
60,0.05096986,0.29611895161290325,0.05935752,0.2734375,0.29966517857142855,56
61,0.050745983,0.30783770161290325,0.060344838,0.2845982142857143,0.29966517857142855,56
62,0.050493576,0.3206905241935484,0.05989144,0.28013392857142855,0.29966517857142855,56
63,0.05084114,0.3094758064516129,0.055634852,0.28404017857142855,0.29966517857142855,56
64,0.05050177,0.3196824596774194,0.061557245,0.3041294642857143,0.3041294642857143,64
65,0.05110696,0.3175403225806452,0.059851106,0.29129464285714285,0.3041294642857143,64
66,0.050659914,0.3025453629032258,0.063397996,0.30078125,0.3041294642857143,64
67,0.050362643,0.3116179435483871,0.06377644,0.29129464285714285,0.3041294642857143,64
68,0.050767746,0.33795362903225806,0.06241652,0.2890625,0.3041294642857143,64
69,0.0510897,0.3385836693548387,0.061915517,0.28794642857142855,0.3041294642857143,64
70,0.05050666,0.3247227822580645,0.062419694,0.27957589285714285,0.3041294642857143,64
71,0.050782673,0.32888104838709675,0.062159594,0.30078125,0.3041294642857143,64
72,0.050625198,0.3370715725806452,0.0647043,0.29854910714285715,0.3041294642857143,64
73,0.05091278,0.34236391129032256,0.05799561,0.3130580357142857,0.3130580357142857,73
74,0.05088787,0.33127520161290325,0.05830432,0.30580357142857145,0.3130580357142857,73
75,0.050820228,0.3433719758064516,0.062054146,0.30189732142857145,0.3130580357142857,73
76,0.050603844,0.3419858870967742,0.061977964,0.29966517857142855,0.3130580357142857,73
77,0.05082968,0.3387096774193548,0.059314538,0.31919642857142855,0.31919642857142855,77
78,0.050669707,0.3670614919354839,0.06250287,0.328125,0.328125,78
79,0.05064463,0.3587449596774194,0.06134102,0.3325892857142857,0.3325892857142857,79
80,0.05073254,0.3566028225806452,0.06221636,0.31808035714285715,0.3325892857142857,79
81,0.050776273,0.36302923387096775,0.060727227,0.32142857142857145,0.3325892857142857,79
82,0.050847378,0.3515625,0.060285218,0.3046875,0.3325892857142857,79
83,0.050908275,0.3588709677419355,0.06305319,0.3236607142857143,0.3325892857142857,79
84,0.050875794,0.3433719758064516,0.06411659,0.31082589285714285,0.3325892857142857,79
85,0.050396733,0.39037298387096775,0.060756378,0.3364955357142857,0.3364955357142857,85
86,0.05165527,0.33694556451612906,0.061567925,0.30636160714285715,0.3364955357142857,85
87,0.049591895,0.35080645161290325,0.06264988,0.30747767857142855,0.3364955357142857,85
88,0.0506719,0.3521925403225806,0.061452772,0.31473214285714285,0.3364955357142857,85
89,0.050943755,0.3884828629032258,0.05923724,0.31808035714285715,0.3364955357142857,85
90,0.050469283,0.36529737903225806,0.05943903,0.31919642857142855,0.3364955357142857,85
91,0.05020716,0.40083165322580644,0.061613645,0.33816964285714285,0.33816964285714285,91
92,0.05175941,0.37109375,0.05929522,0.3286830357142857,0.33816964285714285,91
93,0.04995422,0.35962701612903225,0.06516363,0.328125,0.33816964285714285,91
94,0.05066176,0.35345262096774194,0.06336819,0.3275669642857143,0.33816964285714285,91
95,0.05073019,0.3845766129032258,0.06576588,0.32589285714285715,0.33816964285714285,91
96,0.05079656,0.38596270161290325,0.06287633,0.31417410714285715,0.33816964285714285,91
97,0.05036847,0.36857358870967744,0.06243891,0.32924107142857145,0.33816964285714285,91
98,0.049859565,0.37865423387096775,0.06296213,0.3364955357142857,0.33816964285714285,91
99,0.05088712,0.37310987903225806,0.066966005,0.33816964285714285,0.33816964285714285,91
100,0.050663214,0.3655493951612903,0.06483536,0.3197544642857143,0.33816964285714285,91
101,0.05029858,0.38697076612903225,0.0634882,0.3443080357142857,0.3443080357142857,101
102,0.050892197,0.3922631048387097,0.065711595,0.32700892857142855,0.3443080357142857,101
103,0.050698146,0.40700604838709675,0.06336548,0.34988839285714285,0.34988839285714285,103
104,0.05001829,0.39453125,0.06349667,0.35379464285714285,0.35379464285714285,104
105,0.05070495,0.4010836693548387,0.06027485,0.32924107142857145,0.35379464285714285,104
106,0.049477093,0.4207409274193548,0.0646471,0.33091517857142855,0.35379464285714285,104
107,0.05093608,0.40473790322580644,0.06468951,0.34765625,0.35379464285714285,104
108,0.049948197,0.3979334677419355,0.06438204,0.33314732142857145,0.35379464285714285,104
109,0.051298115,0.42263104838709675,0.062282078,0.33705357142857145,0.35379464285714285,104
110,0.049717877,0.4284274193548387,0.06509698,0.3404017857142857,0.35379464285714285,104
111,0.05057215,0.4034778225806452,0.064595915,0.3404017857142857,0.35379464285714285,104
112,0.051080536,0.4088961693548387,0.0645765,0.35044642857142855,0.35379464285714285,104
113,0.05040634,0.4068800403225806,0.06521539,0.33091517857142855,0.35379464285714285,104
114,0.050192,0.4191028225806452,0.065748475,0.37723214285714285,0.37723214285714285,114
115,0.05024504,0.4167086693548387,0.06305649,0.34542410714285715,0.37723214285714285,114
116,0.051110506,0.42830141129032256,0.063586615,0.3482142857142857,0.37723214285714285,114
117,0.04974766,0.44921875,0.063781016,0.3666294642857143,0.37723214285714285,114
118,0.049714938,0.42502520161290325,0.065233566,0.34151785714285715,0.37723214285714285,114
119,0.0520018,0.4381300403225806,0.06065761,0.36941964285714285,0.37723214285714285,114
120,0.049064204,0.41607862903225806,0.06353002,0.3443080357142857,0.37723214285714285,114
121,0.05040024,0.42552923387096775,0.06492412,0.36328125,0.37723214285714285,114
122,0.05043014,0.4425403225806452,0.06430931,0.3443080357142857,0.37723214285714285,114
123,0.04967951,0.47971270161290325,0.06428571,0.3833705357142857,0.3833705357142857,123
124,0.05073724,0.41897681451612906,0.06478649,0.34877232142857145,0.3833705357142857,123
125,0.050417643,0.4117943548387097,0.064589396,0.3510044642857143,0.3833705357142857,123
126,0.049812205,0.4805947580645161,0.06440873,0.37109375,0.3833705357142857,123
127,0.051438306,0.42779737903225806,0.06532573,0.3314732142857143,0.3833705357142857,123
128,0.0489539,0.43775201612903225,0.06467442,0.3549107142857143,0.3833705357142857,123
129,0.05043772,0.46723790322580644,0.06521685,0.37276785714285715,0.3833705357142857,123
130,0.05068237,0.46383568548387094,0.0647833,0.36830357142857145,0.3833705357142857,123
131,0.049316898,0.4490927419354839,0.068441324,0.3716517857142857,0.3833705357142857,123
132,0.04967679,0.4542590725806452,0.067007,0.37388392857142855,0.3833705357142857,123
133,0.050977048,0.42867943548387094,0.06725898,0.34151785714285715,0.3833705357142857,123
134,0.04955754,0.4532510080645161,0.06695547,0.36551339285714285,0.3833705357142857,123
135,0.050937675,0.48538306451612906,0.06545458,0.3716517857142857,0.3833705357142857,123
136,0.049749464,0.44997479838709675,0.0694604,0.37611607142857145,0.3833705357142857,123
137,0.05042648,0.4659778225806452,0.06706271,0.3755580357142857,0.3833705357142857,123
138,0.049961768,0.4686239919354839,0.06496518,0.3755580357142857,0.3833705357142857,123
139,0.0503362,0.4513608870967742,0.067796215,0.37723214285714285,0.3833705357142857,123
140,0.05070445,0.46169354838709675,0.07007667,0.3755580357142857,0.3833705357142857,123
141,0.050002843,0.44732862903225806,0.06983154,0.38169642857142855,0.3833705357142857,123
142,0.050745096,0.46799395161290325,0.070849665,0.36997767857142855,0.3833705357142857,123
143,0.05050984,0.4866431451612903,0.06315644,0.39732142857142855,0.39732142857142855,143
144,0.049193934,0.47946068548387094,0.068125404,0.38392857142857145,0.39732142857142855,143
145,0.050596684,0.46459173387096775,0.068261616,0.36607142857142855,0.39732142857142855,143
